iter	Passed	Remaining
394	1130	1730
395	1133	1728
396	1136	1725
397	1139	1723
398	1142	1720
399	1146	1719
400	1149	1716
401	1152	1714
402	1155	1711
403	1158	1709
404	1162	1708
405	1166	1706
406	1171	1706
407	1176	1707
408	1180	1705
409	1182	1701
410	1185	1698
411	1188	1696
412	1191	1693
413	1195	1691
414	1201	1694
415	1206	1694
416	1209	1691
417	1212	1688
418	1215	1685
419	1218	1682
420	1221	1680
421	1224	1677
422	1227	1674
423	1230	1671
424	1233	1668
425	1236	1666
426	1239	1663
427	1242	1660
428	1245	1658
429	1248	1655
430	1253	1654
431	1256	1651
432	1260	1650
433	1263	1647
434	1266	1645
435	1270	1643
436	1273	1640
437	1277	1638
438	1280	1636
439	1284	1634
440	1287	1631
441	1291	1630
442	1294	1627
443	1298	1626
444	1302	1623
445	1305	1621
446	1308	1619
447	1312	1616
448	1315	1614
449	1319	1612
450	1323	1611
451	1326	1608
452	1330	1606
453	1334	1604
454	1337	1602
455	1341	1600
456	1345	1598
457	1348	1595
458	1351	1593
459	1355	1590
460	1358	1588
461	1362	1586
462	1365	1583
463	1369	1581
464	1372	1578
465	1375	1575
466	1378	1573
467	1381	1570
468	1383	1566
469	1386	1563
470	1389	1560
471	1392	1557
472	1394	1554
473	1397	1551
474	1400	1548
475	1403	1545
476	1406	1542
477	1409	1539
478	1412	1536
479	1415	1533
480	1418	1530
481	1421	1527
482	1423	1524
483	1426	1521
484	1430	1518
485	1433	1516
486	1436	1513
487	1440	1510
488	1443	1508
489	1446	1505
490	1449	1502
491	1452	1499
492	1455	1497
493	1458	1494
494	1462	1491
495	1465	1488
496	1468	1486
497	1472	1483
498	1475	1481
499	1479	1479
500	1483	1477
501	1487	1476
502	1493	1475
503	1497	1473
504	1501	1472
505	1505	1469
506	1508	1467
507	1511	1464
508	1515	1461
509	1518	1459
510	1521	1456
511	1524	1453
512	1527	1449
513	1529	1446
514	1532	1442
515	1535	1439
516	1537	1436
517	1540	1433
518	1543	1430
519	1546	1427
520	1549	1424
521	1551	1421
522	1554	1418
523	1557	1415
524	1560	1412
525	1563	1409
526	1567	1406
527	1570	1403
528	1573	1401
529	1577	1398
530	1580	1395
531	1584	1393
532	1587	1390
533	1590	1388
534	1593	1385
535	1597	1382
536	1600	1379
537	1604	1377
538	1607	1374
539	1610	1371
540	1614	1369
541	1619	1368
542	1623	1366
543	1626	1363
544	1630	1361
545	1633	1358
546	1636	1355
547	1639	1352
548	1643	1350
549	1646	1347
550	1649	1344
551	1653	1341
552	1656	1338
553	1659	1335
554	1662	1333
555	1666	1330
556	1669	1327
557	1672	1324
558	1675	1321
559	1678	1319
560	1681	1316
561	1685	1313
562	1688	1310
563	1693	1309
564	1697	1307
565	1701	1304
566	1706	1302
567	1709	1300
568	1713	1297
569	1715	1294
570	1718	1290
571	1721	1287
572	1723	1284
573	1726	1281
574	1729	1278
575	1732	1275
576	1735	1272
577	1738	1268
578	1740	1265
579	1743	1262
580	1746	1259
581	1749	1256
582	1752	1253
583	1756	1251
584	1759	1248
585	1764	1246
586	1767	1243
587	1771	1240
588	1774	1238
589	1778	1235
590	1781	1232
591	1784	1229
592	1787	1226
593	1791	1224
594	1796	1222
595	1799	1220
596	1803	1217
597	1808	1215
598	1812	1213
599	1815	1210
600	1818	1207
601	1821	1204
602	1825	1201
603	1828	1198
604	1831	1195
605	1835	1193
606	1840	1191
607	1844	1188
608	1847	1186
609	1851	1183
610	1855	1181
611	1858	1178
612	1861	1175
613	1865	1172
614	1868	1169
615	1871	1166
616	1874	1163
617	1877	1160
618	1880	1157
619	1883	1154
620	1886	1151
621	1889	1148
622	1892	1145
623	1895	1142
624	1898	1139
625	1902	1136
626	1905	1133
627	1908	1130
628	1912	1128
629	1916	1125
630	1919	1122
631	1922	1119
632	1925	1116
633	1928	1113
634	1932	1110
635	1935	1107
636	1939	1105
637	1943	1102
638	1946	1099
639	1950	1096
640	1953	1093
641	1956	1090
642	1959	1087
643	1962	1084
644	1966	1082
645	1970	1079
646	1974	1077
647	1977	1074
648	1980	1071
649	1984	1068
650	1987	1065
651	1990	1062
652	1993	1059
653	1997	1056
654	2001	1054
655	2004	1051
656	2007	1048
657	2010	1045
658	2014	1042
659	2017	1039
660	2020	1036
661	2023	1033
662	2027	1030
663	2031	1028
664	2035	1025
665	2038	1022
666	2041	1019
667	2044	1016
668	2047	1013
669	2050	1010
670	2054	1007
671	2058	1004
672	2062	1002
673	2065	999
674	2068	996
675	2072	993
676	2075	990
677	2078	987
678	2081	984
679	2085	981
680	2088	978
681	2093	975
682	2096	972
683	2099	969
684	2102	966
685	2105	963
686	2109	960
687	2112	957
688	2116	955
689	2119	952
690	2122	949
691	2125	945
692	2128	942
693	2131	940
694	2135	936
695	2138	933
696	2141	930
697	2144	928
698	2147	924
699	2151	921
700	2154	918
701	2157	915
702	2160	912
703	2163	909
704	2166	906
705	2169	903
706	2173	900
707	2176	897
708	2179	894
709	2182	891
710	2185	888
711	2189	885
712	2192	882
713	2195	879
714	2198	876
715	2201	873
716	2205	870
717	2209	867
718	2212	864
719	2215	861
720	2219	859
721	2223	856
722	2227	853
723	2230	850
724	2234	847
725	2238	844
726	2241	841
727	2244	838
728	2248	835
729	2251	832
730	2255	829
731	2258	826
732	2261	823
733	2265	820
734	2268	818
735	2272	815
736	2276	812
737	2280	809
738	2284	806
739	2287	803
740	2290	800
741	2295	798
742	2300	795
743	2303	792
744	2308	790
745	2311	786
746	2314	783
747	2318	781
748	2321	777
749	2325	775
750	2329	772
751	2333	769
752	2336	766
753	2339	763
754	2341	759
755	2344	756
756	2347	753
757	2350	750
758	2353	747
759	2355	743
760	2357	740
761	2359	737
762	2361	733
763	2364	730
764	2367	727
765	2369	723
766	2371	720
767	2372	716
768	2374	713
769	2376	709
770	2377	706
771	2381	703
772	2382	699
773	2384	696
774	2385	692
775	2387	689
776	2389	685
777	2390	682
778	2392	678
779	2394	675
780	2397	672
781	2399	668
782	2400	665
783	2402	661
784	2405	658
785	2409	655
786	2413	653
787	2416	650
788	2419	646
789	2422	643
790	2425	640
791	2430	638
792	2433	635
793	2436	632
794	2440	629
795	2444	626
796	2447	623
797	2451	620
798	2454	617
799	2458	614
800	2461	611
801	2465	608
802	2469	605
803	2472	602
804	2476	599
805	2479	596
806	2482	593
807	2486	590
808	2489	587
809	2493	584
810	2496	581
811	2500	578
812	2503	575
813	2507	573
814	2510	569
815	2514	566
816	2517	563
817	2520	560
818	2523	557
819	2527	554
820	2530	551
821	2533	548
822	2536	545
823	2540	542
824	2543	539
825	2546	536
826	2549	533
827	2552	530
828	2555	527
829	2559	524
830	2562	521
831	2565	518
832	2568	514
833	2571	511
834	2575	508
835	2579	505
836	2582	502
837	2586	499
838	2589	497
839	2593	493
840	2596	490
841	2599	487
842	2602	484
843	2606	481
844	2609	478
845	2612	475
846	2615	472
847	2618	469
848	2622	466
849	2625	463
850	2628	460
851	2631	457
852	2634	454
853	2637	450
854	2640	447
855	2644	444
856	2647	441
857	2650	438
858	2653	435
859	2656	432
860	2659	429
861	2663	426
862	2666	423
863	2669	420
864	2672	417
865	2675	414
866	2679	410
867	2682	407
868	2685	404
869	2688	401
870	2691	398
871	2694	395
872	2698	392
873	2701	389
874	2704	386
875	2708	383
876	2711	380
877	2714	377
878	2717	374
879	2720	371
880	2724	367
881	2727	364
882	2730	361
883	2733	358
884	2736	355
885	2739	352
886	2742	349
887	2745	346
888	2748	343
889	2752	340
890	2755	337
891	2758	334
892	2761	330
893	2765	327
894	2769	324
895	2772	321
896	2775	318
897	2779	315
898	2782	312
899	2786	309
900	2789	306
901	2792	303
902	2795	300
903	2799	297
904	2802	294
905	2805	291
906	2808	287
907	2812	284
908	2815	281
909	2818	278
910	2821	275
911	2824	272
912	2827	269
913	2830	266
914	2833	263
915	2836	260
916	2840	257
917	2843	253
918	2846	250
919	2849	247
920	2852	244
921	2856	241
922	2859	238
923	2862	235
924	2865	232
925	2868	229
926	2872	226
927	2875	223
928	2878	219
929	2881	216
930	2884	213
931	2887	210
932	2891	207
933	2894	204
934	2897	201
935	2900	198
936	2903	195
937	2906	192
938	2909	189
939	2913	185
940	2916	182
941	2919	179
942	2922	176
943	2926	173
944	2929	170
945	2932	167
946	2935	164
947	2938	161
948	2941	158
949	2945	155
950	2948	151
951	2952	148
952	2955	145
953	2958	142
954	2961	139
955	2965	136
956	2968	133
957	2971	130
958	2975	127
959	2978	124
960	2982	121
961	2985	117
962	2988	114
963	2992	111
964	2995	108
965	2998	105
966	3002	102
967	3005	99
968	3009	96
969	3012	93
970	3016	90
971	3020	87
972	3024	83
973	3028	80
974	3032	77
975	3035	74
976	3039	71
977	3042	68
978	3046	65
979	3050	62
980	3054	59
981	3057	56
982	3062	52
983	3066	49
984	3069	46
985	3073	43
986	3077	40
987	3081	37
988	3085	34
989	3089	31
990	3092	28
991	3096	24
992	3100	21
993	3103	18
994	3107	15
995	3110	12
996	3113	9
997	3117	6
998	3121	3
999	3124	0
