iter	RMSE
181	2.060533248
182	2.054325174
183	2.047461357
184	2.042452443
185	2.035417043
186	2.03194207
187	2.026254395
188	2.021062282
189	2.015883447
190	2.010089426
191	2.002195108
192	1.997610147
193	1.992618327
194	1.984486715
195	1.977959002
196	1.975049169
197	1.967049123
198	1.95923222
199	1.953413839
200	1.946465259
201	1.942831378
202	1.939068548
203	1.934663907
204	1.928316618
205	1.923788331
206	1.91895919
207	1.913482693
208	1.909894049
209	1.905258226
210	1.898883112
211	1.894330267
212	1.889171826
213	1.885629423
214	1.879006154
215	1.873057877
216	1.865279472
217	1.859562517
218	1.853412119
219	1.847810495
220	1.840326363
221	1.835348523
222	1.831739598
223	1.825975185
224	1.821034784
225	1.81614261
226	1.810933664
227	1.80443231
228	1.798208997
229	1.792949484
230	1.787472866
231	1.782067556
232	1.777861652
233	1.775552418
234	1.770886323
235	1.767961133
236	1.763597308
237	1.758785534
238	1.754929758
239	1.751125265
240	1.745388996
241	1.741051021
242	1.735785999
243	1.72972682
244	1.725206631
245	1.720915599
246	1.716814852
247	1.713813203
248	1.711256799
249	1.705947841
250	1.701085452
251	1.696518036
252	1.691830907
253	1.689257405
254	1.685934461
255	1.682004688
256	1.678303218
257	1.67472624
258	1.670600209
259	1.667401489
260	1.66421628
261	1.660612948
262	1.656307412
263	1.653690911
264	1.648393859
265	1.64401974
266	1.639878116
267	1.634143127
268	1.631418474
269	1.626555318
270	1.623931882
271	1.619506013
272	1.615115161
273	1.611559158
274	1.607461353
275	1.603534
276	1.59903172
277	1.596344782
278	1.593518249
279	1.58922547
280	1.58532106
281	1.5797099
282	1.578014838
283	1.576059288
284	1.572821461
285	1.568070273
286	1.563639961
287	1.560632758
288	1.556602753
289	1.55239207
290	1.547693794
291	1.543982378
292	1.541004583
293	1.536994856
294	1.53368488
295	1.529812063
296	1.528226116
297	1.523275772
298	1.519925308
299	1.516805074
300	1.51381553
301	1.509167687
302	1.505337835
303	1.49944155
304	1.495770504
305	1.495013019
306	1.490811183
307	1.490421551
308	1.486587526
309	1.482868859
310	1.4787153
311	1.473919255
312	1.469292572
313	1.466763268
314	1.465620504
315	1.462851903
316	1.460112787
317	1.456912664
318	1.453458901
319	1.44870211
320	1.444789675
321	1.442165391
322	1.439237331
323	1.43673373
324	1.432026795
325	1.428970352
326	1.428329384
327	1.424567116
328	1.420964632
329	1.41797632
330	1.414604311
331	1.410781305
332	1.408090795
333	1.403991483
334	1.401438322
335	1.398514799
336	1.395190484
337	1.392381989
338	1.389644795
339	1.385994887
340	1.382142883
341	1.380044463
342	1.378035364
343	1.373121739
344	1.368676964
345	1.365318441
346	1.362789277
347	1.359979532
348	1.359665286
349	1.356195175
350	1.353542681
351	1.349854201
352	1.346557106
353	1.34375587
354	1.340440276
355	1.338086732
356	1.335699997
357	1.33325199
358	1.332301165
359	1.32903596
360	1.326549416
361	1.325707917
362	1.323211484
363	1.320990106
364	1.318349578
365	1.315930238
366	1.31367098
367	1.309129464
368	1.305365628
369	1.302319787
370	1.298869911
371	1.295945007
372	1.293609637
373	1.290504189
374	1.288063411
375	1.284570946
376	1.282073693
377	1.281529992
378	1.278016364
379	1.274123306
380	1.271125888
381	1.270653954
382	1.268506846
383	1.266001932
384	1.262540917
385	1.262121769
386	1.259941072
387	1.258052543
388	1.256835647
389	1.25324602
390	1.249679703
391	1.246078243
392	1.245831599
393	1.242904355
394	1.240208661
395	1.238108618
396	1.237874794
397	1.234062528
398	1.231862467
399	1.231591284
400	1.231243522
401	1.230981126
402	1.229210932
403	1.224804517
404	1.223455061
405	1.222975549
406	1.220564489
407	1.218687012
408	1.216406332
409	1.21222272
410	1.211977811
411	1.208669299
412	1.206204465
413	1.20377055
414	1.20325578
415	1.200827081
416	1.197283993
417	1.195492208
418	1.193534634
419	1.191349083
420	1.189294507
421	1.18795127
422	1.185059609
423	1.182698689
424	1.180140283
425	1.177611528
426	1.174499938
427	1.172119289
428	1.17015703
429	1.168346453
430	1.166596577
431	1.165153404
432	1.164958997
433	1.162049275
434	1.159964238
435	1.158067727
436	1.156333193
437	1.154209183
438	1.151731087
439	1.149364983
440	1.146892782
441	1.143630242
442	1.142628723
443	1.140202441
444	1.137708192
445	1.136444691
446	1.133974622
447	1.130616873
448	1.12770985
449	1.12479521
450	1.123287662
451	1.121600558
452	1.11941436
453	1.117297309
454	1.116898525
455	1.116685088
456	1.114727446
457	1.111842329
458	1.109890091
459	1.109657018
460	1.108247035
461	1.106129201
462	1.104210273
463	1.10239719
464	1.100701968
465	1.096993593
466	1.096059406
467	1.093767971
468	1.091325819
469	1.088757247
470	1.086028285
471	1.083587645
472	1.082862481
473	1.081236209
474	1.079164165
475	1.075867088
476	1.073936961
477	1.071757484
478	1.069763976
479	1.06708909
480	1.065492316
481	1.063986552
482	1.060915593
483	1.058600969
484	1.056495809
485	1.054697284
486	1.052835329
487	1.052222589
488	1.051807371
489	1.049234666
490	1.047525801
491	1.044628185
492	1.042999724
493	1.041775464
494	1.039660854
495	1.037563219
496	1.035213944
497	1.032930256
498	1.030972424
499	1.028347786
500	1.025994239
501	1.024287849
502	1.022791284
503	1.020202
504	1.017459973
505	1.01712605
506	1.016041305
507	1.015796163
508	1.013666716
509	1.012207375
510	1.009322697
511	1.00760569
512	1.005334448
513	1.005029712
514	1.002895969
515	1.000841282
516	0.9989964709
517	0.9968904455
518	0.9946831781
519	0.9920990355
520	0.9891727943
521	0.9870534902
522	0.9849135264
523	0.9840924997
524	0.9827872748
525	0.9802555582
526	0.9784330964
527	0.976913265
528	0.9739604318
529	0.9727112418
530	0.9711008504
531	0.9698677886
532	0.9684738097
533	0.9659055144
534	0.9630782326
535	0.9615975879
536	0.9597887847
537	0.9578920064
538	0.9567384282
539	0.9561502615
540	0.9533884996
541	0.9515042851
542	0.949598403
543	0.9493111159
544	0.947610475
545	0.9452567522
546	0.9428372213
547	0.9410206903
548	0.9394287484
549	0.9385436992
550	0.9365876093
551	0.9351603206
552	0.9330451134
553	0.9308764856
554	0.9290809012
555	0.9271329889
556	0.9251749584
557	0.9234175842
558	0.9205381868
559	0.9178376917
560	0.9166462582
561	0.9147357856
562	0.9133561952
563	0.9107425832
564	0.90829921
565	0.9064950006
566	0.9047607781
567	0.9036420852
568	0.9021720015
569	0.900312643
570	0.8988221808
571	0.8973975792
572	0.8964817651
573	0.8942085559
574	0.8922927703
575	0.8908536328
576	0.8896964817
577	0.8877517784
578	0.8861460556
579	0.8847169164
580	0.8828732373
581	0.8815597419
582	0.8797181858
583	0.8782499522
584	0.8773524479
585	0.8748123922
586	0.8732727689
587	0.8731481216
588	0.8713279276
589	0.8697905687
590	0.8688427652
591	0.8666863354
592	0.8657674042
593	0.8654442588
594	0.8637567521
595	0.862539353
596	0.8601162763
597	0.8588006454
598	0.8570785179
599	0.8569601286
600	0.8556653816
601	0.8546945598
602	0.8534382028
603	0.8533197875
604	0.8510926405
605	0.8499304788
606	0.8487708754
607	0.8477069322
608	0.8468319342
609	0.8448100801
610	0.8437235069
611	0.842140784
612	0.8406063268
613	0.8391989878
614	0.8379206585
615	0.8370238795
616	0.8346736495
617	0.8336431284
618	0.8333557108
619	0.8316492429
620	0.8299996949
621	0.8284157846
622	0.8275342726
623	0.8266163307
624	0.8256288021
625	0.8244601768
626	0.8229358688
627	0.822778015
628	0.8215200708
629	0.8197550362
630	0.8189300395
631	0.8175273109
632	0.816216335
633	0.8151164597
634	0.8149360075
635	0.8147429421
636	0.8125017549
637	0.8105562864
638	0.8094501294
639	0.8084896159
640	0.8068136145
641	0.8058834184
642	0.8052649687
643	0.8051582573
644	0.8031570018
645	0.8012340714
646	0.7992123197
647	0.7984765329
648	0.7979790226
649	0.7963293317
650	0.7960569539
651	0.7955602819
652	0.7944646919
653	0.7936425733
654	0.7924502391
655	0.7915242343
656	0.7912811551
657	0.7900559061
658	0.7898905055
659	0.7886819811
660	0.7877836747
661	0.786705224
662	0.7858162148
663	0.7856673769
664	0.785575915
665	0.7840042499
666	0.7823328497
667	0.7812191389
668	0.7796923614
669	0.7787111274
670	0.7776731241
671	0.7771970527
672	0.7762911972
673	0.775042238
674	0.7734919435
675	0.7715547152
676	0.7713524587
677	0.770234215
678	0.7693088393
679	0.7691415506
680	0.7685107583
681	0.7662778303
682	0.7652911479
683	0.7645070948
684	0.7641861856
685	0.762824096
686	0.7627363394
687	0.761574964
688	0.759615497
689	0.7585239916
690	0.758357684
691	0.7575385473
692	0.7568101074
693	0.7553061183
694	0.7540957136
695	0.7527491356
696	0.7521094012
697	0.7520253412
698	0.7502879996
699	0.7479747102
700	0.7474857984
701	0.7454744702
702	0.7443604484
703	0.7433948144
704	0.743062545
705	0.7424184603
706	0.7409232369
707	0.7399820293
708	0.7394731621
709	0.7380738117
710	0.7371227326
711	0.7363024263
712	0.7348253537
713	0.7336327316
714	0.7333891726
715	0.7322582473
716	0.7305877105
717	0.7293958778
718	0.727344567
719	0.7264329273
720	0.7253066018
721	0.7241984152
722	0.7235222164
723	0.7230892921
724	0.7220282557
725	0.7210038683
726	0.7198794463
727	0.718379351
728	0.7168858997
729	0.7163238877
730	0.7148964009
731	0.7140486404
732	0.7135711901
733	0.7126067782
734	0.7112398433
735	0.7100157505
736	0.7092690243
737	0.7076197461
738	0.7073074628
739	0.7058475427
740	0.7052958713
741	0.7038430117
742	0.7036646707
743	0.7032146786
744	0.7024793393
745	0.7013511487
746	0.699889182
747	0.698539271
748	0.6971797126
749	0.6956314078
750	0.6947230939
751	0.6934807994
752	0.6917563327
753	0.6907055474
754	0.6891239878
755	0.6874543471
756	0.6863327837
757	0.6852328412
758	0.6839662071
759	0.6831278555
760	0.6821066866
761	0.6805436974
762	0.6802963945
763	0.6791929261
764	0.67808182
765	0.6780095019
766	0.6770298865
767	0.6758468279
768	0.6747701766
769	0.6742057667
770	0.6736490668
771	0.6729043187
772	0.6724593847
773	0.6710871181
774	0.6697865041
775	0.6687044258
776	0.6677099508
777	0.6668857842
778	0.6655019853
779	0.664325695
780	0.6626696672
781	0.6617045489
782	0.6606282175
783	0.6593549146
784	0.6587682779
785	0.6586998296
786	0.6581543492
787	0.656727364
788	0.6555692599
789	0.6543672458
790	0.6532314303
791	0.6519299712
792	0.6515610326
793	0.6507530757
794	0.6494478024
795	0.6482846065
796	0.6479030919
797	0.6462545147
798	0.6452798693
799	0.6446895261
800	0.6438428754
801	0.642408216
802	0.641474335
803	0.6405932767
804	0.6397554646
805	0.6388836969
806	0.6388148492
807	0.6378194582
808	0.6366043775
809	0.6352857808
810	0.6342929626
811	0.6333356774
812	0.6321567515
813	0.6316929898
814	0.6309180987
815	0.6308536775
816	0.6302818184
817	0.6288470052
818	0.6281278458
819	0.6271774683
820	0.6262620853
821	0.6251855795
822	0.6243033227
823	0.622813695
824	0.6224164575
825	0.6209512482
826	0.6206308108
827	0.6205697426
828	0.6196832596
829	0.6191797666
830	0.6182141782
831	0.6172845432
832	0.6167970672
833	0.6157358928
834	0.6148598221
835	0.6143223685
836	0.6132089575
837	0.6123240452
838	0.611726871
839	0.6106973145
840	0.6093554202
841	0.6083739573
842	0.6078036588
843	0.6067399567
844	0.6066787821
845	0.6064211059
846	0.6053323735
847	0.6044454197
848	0.6035951138
849	0.6024575901
850	0.6017114905
851	0.6011084154
852	0.5996602329
853	0.5985311929
854	0.5976004295
855	0.5972282358
856	0.5962440203
857	0.595540764
858	0.5947493217
859	0.5942951139
860	0.5931942171
861	0.5921734617
862	0.5917500648
863	0.5911348846
864	0.589897408
865	0.5881989463
866	0.5876617872
867	0.5869564909
868	0.5862044259
869	0.5851841322
870	0.5845112226
871	0.5836778956
872	0.5830187941
873	0.5822933217
874	0.5812747662
875	0.579868983
876	0.5792503521
877	0.5782166806
878	0.5774498635
879	0.5770387057
880	0.5768551274
881	0.5762159686
882	0.5755390096
883	0.5748961636
884	0.5737564345
885	0.5730437701
886	0.5717552218
887	0.5714877102
888	0.5712910485
889	0.5710819334
890	0.5701952526
891	0.5695103065
892	0.5688030373
893	0.5673015642
894	0.5665177051
895	0.5659915382
896	0.5646714373
897	0.5634278663
898	0.5628891849
899	0.5626467769
900	0.5621865851
901	0.5613131349
902	0.5605356289
903	0.5597380841
904	0.5595141086
905	0.5588492237
906	0.5581478632
907	0.5567610267
908	0.5552774582
909	0.5547767775
910	0.554054364
911	0.553837488
912	0.5526345548
913	0.5515094136
914	0.5504833103
915	0.5494421738
916	0.5482700658
917	0.5480286221
918	0.5472490997
919	0.5466494364
920	0.5460927818
921	0.5449708805
922	0.5444434075
923	0.5432947838
924	0.5427692828
925	0.5423926774
926	0.5421932573
927	0.540902813
928	0.5407786713
929	0.5403902333
930	0.5392181033
931	0.5380224863
932	0.5376588696
933	0.5371220065
934	0.5366477632
935	0.535445094
936	0.5351454521
937	0.5342201677
938	0.5334412215
939	0.533265336
940	0.5323945818
941	0.5318060613
942	0.531157675
943	0.5305341204
944	0.5298128692
945	0.5293631704
946	0.5292576019
947	0.5290447085
948	0.5281425839
949	0.5278393204
950	0.5272810568
951	0.5260782285
952	0.5255557442
953	0.5254165197
954	0.5252136443
955	0.524553516
956	0.524432419
957	0.5236181873
958	0.523374877
959	0.5225558432
960	0.5219799898
961	0.5215829126
962	0.5213074051
963	0.5205785108
964	0.5197737702
965	0.5191154944
966	0.518924693
967	0.518709916
968	0.5180103084
969	0.5176364839
970	0.5169080758
971	0.5158359348
972	0.5156752912
973	0.5155791814
974	0.51514371
975	0.5145316482
976	0.5140557036
977	0.5135323906
978	0.5127941181
979	0.5122772224
980	0.5116901315
981	0.5111105241
982	0.510535292
983	0.5093462819
984	0.5086569464
985	0.5082695357
986	0.5078118228
987	0.5073995987
988	0.5072865263
989	0.5066398557
990	0.5058209663
991	0.5040988856
992	0.5040344802
993	0.5035759297
994	0.5033575016
995	0.5023620582
996	0.5015622837
997	0.5005087243
998	0.5000939492
999	0.4995761524
